Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
2025-06-29 00:00:00,James Kirby,Scott Johnson,Nissan,Altima,2010,11590,0.0677566802734976,785.3
2025-05-20 00:00:00,John Miller,Kathy Carter,Ford,Silverado,2011,17109,0.0645103357324004,1103.71
2024-11-07 00:00:00,David Robinson,Alyssa Smith,Nissan,Altima,2018,27063,0.0621995879056657,1683.31
2025-03-19 00:00:00,Elizabeth Rose,Lisa Anderson,Nissan,Altima,2020,39173,0.1044874756248342,4093.09
2025-07-17 00:00:00,Cheryl Johnson,Patrick Simpson,Toyota,F-150,2015,25333,0.1189651467509394,3013.74
2025-07-29 00:00:00,Carolyn Callahan,Connie Ford,Nissan,F-150,2018,42969,0.0678484852281886,2915.38
2024-11-18 00:00:00,Lisa Thompson,Todd Turner,Nissan,Civic,2015,43677,0.1425370995983758,6225.59
2025-04-24 00:00:00,Jennifer Moreno,Justin Wilcox,Ford,Civic,2016,40849,0.1188054360696516,4853.08
2025-03-03 00:00:00,Donald Wilson,James Atkinson,Honda,Civic,2013,46263,0.1371372975832929,6344.38
2025-04-27 00:00:00,Donald Roth,Tim Garner,Chevrolet,Silverado,2012,18059,0.1415337138341734,2555.96
2025-02-15 00:00:00,Samantha Sawyer,Melissa Maynard,Chevrolet,Altima,2012,30373,0.0846111178932548,2569.89
2025-07-15 00:00:00,Sharon Kelley,Joseph Burns,Nissan,Silverado,2013,30238,0.1451474838964657,4388.97
2025-02-04 00:00:00,Belinda Guerrero,Jay Oliver,Ford,F-150,2020,27220,0.0658425024026752,1792.23
2024-12-30 00:00:00,Daniel Wood,Chad Robinson,Nissan,F-150,2020,36893,0.1454729411687409,5366.93
2024-12-11 00:00:00,Joel Jackson,Lisa Clark,Ford,Silverado,2014,21764,0.0707838565935184,1540.54
2025-07-21 00:00:00,Jesse Hernandez,Ryan Wang,Nissan,Civic,2010,34887,0.1276742384338224,4454.17
2025-02-24 00:00:00,Stephanie Dawson,Donald Rodgers,Honda,Silverado,2011,13044,0.1365272876071418,1780.86
